cvegeomun,nom_juri,cvegeojuri
"01001",AGUASCALIENTES,"0101"
"01002",RINCÓN DE ROMOS,"0102"
"01003",CALVILLO,"0103"
"01004",RINCÓN DE ROMOS,"0102"
"01005",AGUASCALIENTES,"0101"
"01006",RINCÓN DE ROMOS,"0102"
"01007",RINCÓN DE ROMOS,"0102"
"01008",RINCÓN DE ROMOS,"0102"
"01009",RINCÓN DE ROMOS,"0102"
"01010",AGUASCALIENTES,"0101"
"01011",AGUASCALIENTES,"0101"
"02001",VICENTE GUERRERO,"0204"
"02002",MEXICALI,"0201"
"02003",TIJUANA,"0202"
"02004",TIJUANA,"0202"
"02005",TIJUANA,"0202"
"03001",COMONDÚ,"0301"
"03002",MULEGÉ,"0302"
"03003",LA PAZ,"0303"
"03008",LOS CABOS,"0304"
"03009",COMONDÚ,"0301"
"04001",CAMPECHE,"0401"
"04002",CAMPECHE,"0401"
"04003",CARMEN,"0403"
"04004",CAMPECHE,"0401"
"04005",CAMPECHE,"0401"
"04006",CAMPECHE,"0401"
"04007",CARMEN,"0403"
"04008",CAMPECHE,"0401"
"04009",ESCÁRCEGA,"0402"
"04010",ESCÁRCEGA,"0402"
"04011",ESCÁRCEGA,"0402"
"05001",MONCLOVA,"0504"
"05002",ACUÑA,"0502"
"05003",PIEDRAS NEGRAS,"0501"
"05004",SALTILLO,"0508"
"05005",MONCLOVA,"0504"
"05006",MONCLOVA,"0504"
"05007",CUATRO CIENEGAS,"0505"
"05008",MONCLOVA,"0504"
"05009",FRANCISCO I. MADERO,"0507"
"05010",MONCLOVA,"0504"
"05011",SALTILLO,"0508"
"05012",PIEDRAS NEGRAS,"0501"
"05013",PIEDRAS NEGRAS,"0501"
"05014",ACUÑA,"0502"
"05015",SABINAS,"0503"
"05016",CUATRO CIENEGAS,"0505"
"05017",TORREÓN,"0506"
"05018",MONCLOVA,"0504"
"05019",ACUÑA,"0502"
"05020",SABINAS,"0503"
"05021",MONCLOVA,"0504"
"05022",PIEDRAS NEGRAS,"0501"
"05023",FRANCISCO I. MADERO,"0507"
"05024",SALTILLO,"0508"
"05025",PIEDRAS NEGRAS,"0501"
"05026",SABINAS,"0503"
"05027",SALTILLO,"0508"
"05028",SABINAS,"0503"
"05029",CUATRO CIENEGAS,"0505"
"05030",SALTILLO,"0508"
